"","Mat_Bat","Inns_Bat","NO","Runs_Bat","HS","Ave_Bat","BF","SR_Bat","100","50","4s","6s","Ct","St","Mat_Bowl","Inns_Bowl","Balls","Runs_Bowl","Wkts","Ave_Bowl","Econ","SR_Bowl","4w","5w","10","Full_Name","Country","Batting_Style","Bowling_Style"
"57",41,7,3,34,18,8.5,67,50.74,0,0,5,0,10,0,41,40,2173,1772,72,24.61,4.89,30.1,1,2,0," Yuzvendra Singh Chahal","India","Batting style Right-hand bat","Bowling style Legbreak googly"
"58",139,84,31,669,55,12.62,670,99.85,0,1,53,26,39,0,139,137,6967,6303,185,34.07,5.42,37.6,4,3,0," Timothy Grant Southee","New Zealand","Batting style Right-hand bat","Bowling style Right-arm medium-fast"
"59",79,35,20,144,21,9.6,190,75.78,0,0,13,6,23,0,79,79,4290,3632,147,24.7,5.07,29.1,5,5,0," Trent Alexander Boult","New Zealand","Batting style Right-hand bat","Bowling style Left-arm fast-medium"
"60",28,21,6,443,74,29.53,401,110.47,0,1,31,22,8,0,28,28,990,834,18,46.33,5.05,55,0,0,0," Colin de Grandhomme","New Zealand","Batting style Right-hand bat","Bowling style Right-arm fast-medium"
"61",27,13,6,58,19,8.28,119,48.73,0,0,2,1,8,0,27,27,1400,1310,46,28.47,5.61,30.4,1,1,0," Lachlan Hammond Ferguson","New Zealand","Batting style Right-hand bat","Bowling style Right-arm fast"
"62",49,42,9,1015,74,30.75,966,105.07,0,5,97,23,19,0,49,46,1445,1522,44,34.59,6.31,32.8,2,0,0," James Douglas Sheahan Neesham","New Zealand","Batting style Left-hand bat","Bowling style Right-arm medium"
"63",59,46,16,826,67,27.53,922,89.58,0,2,58,24,22,0,59,55,2677,2187,63,34.71,4.9,42.4,0,1,0," Mitchell Josef Santner","New Zealand","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"64",30,12,2,62,24,6.2,84,73.8,0,0,2,4,7,0,30,29,1512,1395,39,35.76,5.53,38.7,1,0,0," Inderbir Singh Sodhi","New Zealand","Batting style Right-hand bat","Bowling style Legbreak"
"65",169,166,18,6440,237,43.51,7365,87.44,16,34,656,164,82,0,169,11,109,98,4,24.5,5.39,27.2,0,0,0," Martin James Guptill","New Zealand","Batting style Right-hand bat","Bowling style Right-arm offbreak"
"66",51,47,1,1146,87,24.91,1086,105.52,0,7,121,34,20,0,51,24,546,472,7,67.42,5.18,78,0,0,0," Colin Munro","New Zealand","Batting style Left-hand bat","Bowling style Right-arm medium-fast"
"67",106,104,4,4343,179,43.43,4498,96.55,14,17,454,70,49,0,106,1,6,8,0,NA,8,NA,0,0,0," David Andrew Warner","Australia","Batting style Left-hand bat","Bowling style Legbreak"
"68",109,105,2,4052,153,39.33,4596,88.16,13,21,406,94,54,0,109,17,248,219,3,73,5.29,82.6,0,0,0," Aaron James Finch","Australia","Batting style Right-hand bat","Bowling style Slow left-arm orthodox"
"69",71,70,4,2747,151,41.62,3371,81.48,7,15,245,36,22,0,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Shaun Edward Marsh","Australia","Batting style Left-hand bat","Bowling style Slow left-arm orthodox"
"70",108,94,12,3431,164,41.84,3973,86.35,8,19,289,31,62,0,108,36,1046,931,27,34.48,5.34,38.7,0,0,0," Steven Peter Devereux Smith","Australia","Batting style Right-hand bat","Bowling style Legbreak googly"
"71",31,30,2,1238,104,44.21,1490,83.08,2,10,120,12,8,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Usman Tariq Khawaja","Australia","Batting style Left-hand bat","Bowling style Right-arm medium"
"72",33,31,6,963,146,38.52,1030,93.49,1,6,75,36,9,0,33,31,1174,1202,26,46.23,6.14,45.1,0,0,0," Marcus Peter Stoinis","Australia","Batting style Right-hand bat","Bowling style Right-arm medium"
"73",19,17,3,429,55,30.64,514,83.46,0,1,40,3,16,3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Alex Tyson Carey","Australia","Batting style Left-hand bat",NA
"74",27,18,6,154,34,12.83,190,81.05,0,0,12,2,7,0,27,27,1396,1275,48,26.56,5.47,29,1,0,0," Nathan Mitchell Coulter-Nile","Australia","Batting style Right-hand bat","Bowling style Right-arm fast"
